region_id,short_tip,med_tip,long_tip,max_tip,max_bin,is_statistically_significant,has_rejected_null_hyp,PULocationID,Borough,Zone,service_zone
7,1.2052478260869566,1.9055091071961778,5.852333333333334,5.852333333333334,long,False,False,7,Queens,Astoria,Boro Zone
33,2.2390646985791145,4.09220205479452,7.899545454545455,7.899545454545455,long,False,False,33,Brooklyn,Brooklyn Heights,Boro Zone
244,1.1560946540152741,2.8947628518971844,7.620174672489083,7.620174672489083,long,True,True,244,Manhattan,Washington Heights South,Boro Zone
42,0.761217876465284,1.6788497687602568,4.767763157894737,4.767763157894737,long,True,True,42,Manhattan,Central Harlem North,Boro Zone
66,2.0677427716849452,3.434633248371566,7.283469387755102,7.283469387755102,long,False,False,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
89,0.35773947750362844,1.2066602962255135,1.1225423728813557,1.2066602962255135,medium,False,False,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
112,1.6591556857003416,3.0754995499549955,7.5155,7.5155,long,False,False,112,Brooklyn,Greenpoint,Boro Zone
223,2.966560669456067,5.626343253159397,19.830000000000005,19.830000000000005,long,True,True,223,Queens,Steinway,Boro Zone
93,3.371733021077284,8.654909594634004,15.473161290322581,15.473161290322581,long,True,True,93,Queens,Flushing Meadows-Corona Park,Boro Zone
95,0.8192860948321791,1.9849702789208963,4.502173913043478,4.502173913043478,long,False,False,95,Queens,Forest Hills,Boro Zone
25,1.7697381242387331,3.128798701298701,3.591470588235294,3.591470588235294,long,False,False,25,Brooklyn,Boerum Hill,Boro Zone
191,0.08472457627118644,0.31968874700718275,3.983125,3.983125,long,True,True,191,Queens,Queens Village,Boro Zone
65,1.9841441253263707,4.218607484769365,8.530982142857143,8.530982142857143,long,False,False,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
80,1.8401552631578948,2.9389460784313726,5.4792000000000005,5.4792000000000005,long,False,False,80,Brooklyn,East Williamsburg,Boro Zone
39,0.06888114754098361,0.3049444444444444,1.0598029556650248,1.0598029556650248,long,False,False,39,Brooklyn,Canarsie,Boro Zone
146,1.843776794828173,3.15627783669141,12.067941176470589,12.067941176470589,long,False,False,146,Queens,Long Island City/Queens Plaza,Boro Zone
150,0.3225,1.2379296874999999,1.1310810810810812,1.2379296874999999,medium,False,False,150,Brooklyn,Manhattan Beach,Boro Zone
10,1.7822187499999997,8.922266758811332,15.494620253164557,15.494620253164557,long,True,True,10,Queens,Baisley Park,Boro Zone
255,1.8079477611940302,3.050188038060716,10.715172413793104,10.715172413793104,long,False,False,255,Brooklyn,Williamsburg (North Side),Boro Zone
4,2.0884614832106303,4.201004672897196,8.857142857142858,8.857142857142858,long,False,False,4,Manhattan,Alphabet City,Yellow Zone
248,0.06884726224783862,0.1342557251908397,1.015,1.015,long,False,False,248,Bronx,West Farms/Bronx River,Boro Zone
165,0.0731792559188275,0.37998581560283684,1.3289285714285715,1.3289285714285715,long,False,False,165,Brooklyn,Midwood,Boro Zone
76,0.15707976720301267,0.27191648488625747,2.1509589041095887,2.1509589041095887,long,False,False,76,Brooklyn,East New York,Boro Zone
18,0.2782405345211581,0.09329090909090909,0.1282051282051282,0.2782405345211581,short,False,False,18,Bronx,Bedford Park,Boro Zone
97,1.690733469665985,2.9229201183431957,6.088709677419356,6.088709677419356,long,False,False,97,Brooklyn,Fort Greene,Boro Zone
49,1.052162447257384,2.4508244815376834,3.1637142857142853,3.1637142857142853,long,False,False,49,Brooklyn,Clinton Hill,Boro Zone
188,0.27143524283935244,0.9164448336252189,2.02,2.02,long,True,True,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
134,4.524459219858156,5.976424982053123,12.291052631578948,12.291052631578948,long,True,True,134,Queens,Kew Gardens,Boro Zone
14,0.32803482587064675,1.2206130520764666,2.066666666666667,2.066666666666667,long,False,False,14,Brooklyn,Bay Ridge,Boro Zone
213,0.11067821067821068,0.5541031227305737,1.634814814814815,1.634814814814815,long,False,False,213,Bronx,Soundview/Castle Hill,Boro Zone
216,7.217071607690165,3.395865894838398,10.872388059701493,10.872388059701493,long,True,True,216,Queens,South Ozone Park,Boro Zone
91,0.05925089179548157,0.1012268677176148,0.42600000000000005,0.42600000000000005,long,False,False,91,Brooklyn,Flatlands,Boro Zone
129,2.4845808862786973,2.8403267731154846,10.332413793103449,10.332413793103449,long,False,False,129,Queens,Jackson Heights,Boro Zone
259,0.2846859903381642,0.08100371747211897,0.4613043478260869,0.4613043478260869,long,False,False,259,Bronx,Woodlawn/Wakefield,Boro Zone
3,0.24782051282051282,0.2514705882352941,0.0,0.2514705882352941,medium,False,False,3,Bronx,Allerton/Pelham Gardens,Boro Zone
256,1.8243585756491991,3.2660949263502457,12.595652173913043,12.595652173913043,long,True,True,256,Brooklyn,Williamsburg (South Side),Boro Zone
215,0.8493079584775085,6.116307952622674,9.120102040816326,9.120102040816326,long,True,True,215,Queens,South Jamaica,Boro Zone
51,0.08301587301587302,0.10410911201392921,0.08825242718446602,0.10410911201392921,medium,False,False,51,Bronx,Co-Op City,Boro Zone
218,0.26914127423822715,0.22329787234042553,0.948301886792453,0.948301886792453,long,False,False,218,Queens,Springfield Gardens North,Boro Zone
159,0.34761757902852736,0.4337514518002323,0.4473684210526316,0.4473684210526316,long,False,False,159,Bronx,Melrose South,Boro Zone
247,0.6469565217391303,1.8986976744186046,11.970000000000002,11.970000000000002,long,False,False,247,Bronx,West Concourse,Boro Zone
200,0.6966923076923077,0.8736590436590436,3.4232500000000003,3.4232500000000003,long,False,False,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
21,0.10985250737463127,0.20045092838196285,4.835135135135135,4.835135135135135,long,False,False,21,Brooklyn,Bensonhurst East,Boro Zone
174,0.305,0.33614285714285713,0.36980392156862746,0.36980392156862746,long,False,False,174,Bronx,Norwood,Boro Zone
197,4.578230409963674,1.3711332973556396,2.472666666666667,4.578230409963674,short,True,True,197,Queens,Richmond Hill,Boro Zone
37,0.7693260694108152,1.7345534069981583,6.432307692307693,6.432307692307693,long,False,False,37,Brooklyn,Bushwick South,Boro Zone
179,1.0415729974160206,1.902197718631179,5.183125,5.183125,long,False,False,179,Queens,Old Astoria,Boro Zone
71,0.10569791666666667,0.2590360272638753,0.0,0.2590360272638753,medium,True,True,71,Brooklyn,East Flatbush/Farragut,Boro Zone
169,0.12737727910238428,0.21466448445171848,0.5008333333333334,0.5008333333333334,long,False,False,169,Bronx,Mount Hope,Boro Zone
17,0.6370204374327716,1.474262707599396,1.7611764705882353,1.7611764705882353,long,False,False,17,Brooklyn,Bedford,Boro Zone
35,0.02973549883990719,0.16808368708308064,0.9628813559322035,0.9628813559322035,long,False,False,35,Brooklyn,Brownsville,Boro Zone
40,1.9211567516525023,3.835546492659054,10.4,10.4,long,True,True,40,Brooklyn,Carroll Gardens,Boro Zone
241,0.3862397820163488,0.3984024577572965,0.7657499999999999,0.7657499999999999,long,False,False,241,Bronx,Van Cortlandt Village,Boro Zone
260,1.7545535168195716,4.608845720720721,7.601,7.601,long,False,False,260,Queens,Woodside,Boro Zone
121,0.3670701754385965,0.8934943181818181,6.059333333333333,6.059333333333333,long,False,False,121,Queens,Hillcrest/Pomonok,Boro Zone
208,0.13007246376811596,0.8918827708703375,4.108,4.108,long,False,False,208,Bronx,Schuylerville/Edgewater Park,Boro Zone
72,0.05168264621284755,0.16624478442280946,0.3491836734693877,0.3491836734693877,long,False,False,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
195,1.6021019108280254,4.380109523809524,8.886111111111111,8.886111111111111,long,True,True,195,Brooklyn,Red Hook,Boro Zone
52,2.1047940751445084,4.997018425460636,11.75,11.75,long,True,True,52,Brooklyn,Cobble Hill,Boro Zone
16,0.37344594594594593,0.8624999999999999,10.611333333333334,10.611333333333334,long,True,True,16,Queens,Bayside,Boro Zone
