region_id,short_tip_percent,med_tip_percent,long_tip_percent,max_tip_percent,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
91,0.002792928884225813,0.0020719127237858927,0.004493692371592692,0.004493692371592692,long,False,False,91,Brooklyn,Flatlands,Boro Zone
226,0.09733912009377758,inf,0.10680846310038498,inf,medium,False,False,226,Queens,Sunnyside,Boro Zone
112,0.10562308491423732,0.09306759970136105,0.05086825843619706,0.10562308491423732,short,False,False,112,Brooklyn,Greenpoint,Boro Zone
133,0.037016214247918774,0.03250272205565376,0.031149469580110434,0.037016214247918774,short,False,False,133,Brooklyn,Kensington,Boro Zone
188,0.01711579785636639,0.020923984807419346,0.024651864663152948,0.024651864663152948,long,False,False,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
65,0.12913741788640928,0.10980517308595467,0.09607678493821911,0.12913741788640928,short,False,False,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
89,0.03011585586213209,0.028384905038304892,0.01543200837251318,0.03011585586213209,short,False,False,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
225,0.02085184055580915,0.02912321368849982,0.022803114055031215,0.02912321368849982,medium,False,False,225,Brooklyn,Stuyvesant Heights,Boro Zone
4,0.1544758314412603,0.1207013118060333,0.11106960428501705,0.1544758314412603,short,False,False,4,Manhattan,Alphabet City,Yellow Zone
64,0.07101968154114995,0.031074214660837266,0.033044196612969846,0.07101968154114995,short,False,False,64,Queens,Douglaston,Boro Zone
14,0.01850823224636721,0.02768859912195692,0.022557960819071923,0.02768859912195692,medium,False,False,14,Brooklyn,Bay Ridge,Boro Zone
93,inf,0.15218022339684417,0.11432916901224222,inf,short,True,True,93,Queens,Flushing Meadows-Corona Park,Boro Zone
76,0.007718721323567755,0.005604482254685932,0.02154274404087559,0.02154274404087559,long,False,False,76,Brooklyn,East New York,Boro Zone
71,0.002732862896230674,0.005672727887378889,0.0,0.005672727887378889,medium,True,True,71,Brooklyn,East Flatbush/Farragut,Boro Zone
129,inf,0.06665305517472912,0.07218375435899668,inf,short,False,False,129,Queens,Jackson Heights,Boro Zone
10,inf,1.8570034961958126,inf,inf,short,True,True,10,Queens,Baisley Park,Boro Zone
228,0.053177682056168844,0.054281103531001726,0.0721059556579409,0.0721059556579409,long,False,False,228,Brooklyn,Sunset Park West,Boro Zone
127,0.045768622978862125,0.037625193071251783,0.061413355356612916,0.061413355356612916,long,False,False,127,Manhattan,Inwood,Boro Zone
135,0.02124283920588403,0.020302098384951475,0.015910489447466314,0.02124283920588403,short,False,False,135,Queens,Kew Gardens Hills,Boro Zone
123,0.008547621980144643,0.007487875500882328,0.008421296296296297,0.008547621980144643,short,False,False,123,Brooklyn,Homecrest,Boro Zone
185,0.006533863360277652,0.00903381099087399,0.01028754458499428,0.01028754458499428,long,False,False,185,Bronx,Pelham Parkway,Boro Zone
149,0.012341504368502934,0.003982244282572582,0.0,0.012341504368502934,short,False,False,149,Brooklyn,Madison,Boro Zone
155,0.031048057909169535,0.014951204137088227,0.007945314045945064,0.031048057909169535,short,False,False,155,Brooklyn,Marine Park/Mill Basin,Boro Zone
216,inf,0.06059887966710841,0.10015196274175737,inf,short,True,True,216,Queens,South Ozone Park,Boro Zone
